customer_id,first_name,last_name,email,signup_date,dob,gender,postcode_area,loyalty_tier
5be72ffe-0396-43ab-84cc-61a4ce13d6c3,Henry,Smith,timothydavies@example.net,2024-03-06,1941-04-27,F,EC,None
2a1a4aa4-15fd-43d2-a5b3-0b1502fa3e44,Robert,Green,leannefoster@example.net,2021-12-20,1968-04-23,U,EC,None
adbc996b-f86f-4ac5-99f9-092b9a4be8df,Janice,Burton,zwright@example.org,2022-06-01,1983-10-24,F,N,Bronze
706d2227-99be-45ea-825e-5b431c8c5095,Mary,Cook,robinandrews@example.com,2024-08-27,1950-06-23,M,L,None
61dfa428-f2b2-407f-98e9-8ec90a565dde,Sarah,Baker,samuel78@example.org,2022-01-11,1965-06-15,M,SE,Bronze
efcbdf00-6fa3-4c72-8a7f-08e84f42ba15,Lynn,Harris,melissa31@example.org,2025-07-06,1965-05-11,F,M,None
a658f6ab-c772-4919-83e0-6f9eca4a9d39,Jason,Davis,palmersandra@example.net,2024-04-07,1992-03-09,F,SW,None
3b22a050-aba3-4171-b17e-f87c1c6bdcec,Owen,Kelly,rita19@example.net,2024-12-15,1950-09-05,U,WC,Bronze
e0c55651-0809-4383-9e5e-6553ee39c4cd,Ben,Hall,ruth83@example.net,2022-04-22,1989-03-14,U,WC,Gold
57ab5575-f667-45bb-895d-90abbf4d94fa,William,Wilson,nelsonjoanne@example.com,2022-12-01,1991-11-12,F,NW,None
79a458a0-1ca7-40da-ac13-1350e3e02007,Kirsty,Hawkins,phillip76@example.net,2021-11-19,2001-09-17,M,NW,Bronze
d5ffa146-4cb0-4ffc-9395-8d93eca68840,Louis,Morris,fiona69@example.com,2023-06-16,1957-08-18,M,L,None
bef5e1c2-ff2e-472b-afba-b22aad3197f7,Ashley,Bond,daveyjamie@example.org,2023-01-25,2007-06-09,U,L,None
81832ba2-5d28-407c-8da6-f07a6a2bb3a1,Mary,Anderson,dpalmer@example.net,2024-02-17,1993-06-24,U,M,None
7ea701c9-b52b-42cb-b7cf-3c18928036be,Mark,Davies,richardsonpaula@example.com,2022-08-17,1977-03-28,F,NW,Silver
5c8109a4-54db-4422-a94f-4a6eb8b4bcfa,Billy,Williams,uharper@example.net,2024-09-10,1962-10-01,U,L,None
b65121bd-1688-4ae9-b571-f401cfaeb6b7,Antony,Buckley,taylorjoel@example.net,2022-09-03,1973-08-29,F,M,None
ca076d28-722c-498d-b4bf-87b0229bcac0,Karen,Carter,andersonwendy@example.org,2023-08-26,1953-02-22,F,L,None
64f2468d-0b5b-4478-aae6-26761914d0c7,Mohammad,Smith,kirstymay@example.org,2022-01-25,1964-04-20,F,L,None
94f46a5a-2429-40bc-9774-ba26bb9a99a4,Stacey,Miller,katyjones@example.net,2024-07-19,1995-02-09,F,SW,Silver
5e354e53-ed36-4c40-bd7f-d4130c7ca0af,Lynda,Davison,sheilamitchell@example.net,2022-04-13,1975-07-02,M,M,Bronze
06213209-4136-41f1-8d7d-f5b68d1eabf4,Vanessa,Brooks,clyons@example.org,2022-06-04,1960-10-25,F,SW,Silver
1b77a8b3-1591-445e-adc7-9450b5293072,Michael,Fox,joanquinn@example.org,2022-08-12,1943-12-22,F,M,None
